type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
CALORIES_BURNED_GOAL,DAILY,2866.0,596.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-28,2023-11-29,2023-11-27T08:44:18.000+00:00,null
STEPS_GOAL,DAILY,10000.0,202.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-28,2023-11-29,2023-11-27T08:44:18.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-28,2023-11-29,2023-11-27T08:44:18.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0942434,INPROGRESS_SO_FAR_MISSED,false,2023-11-28,2023-11-29,2023-11-27T08:44:18.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-28,2023-11-29,2023-11-27T08:44:18.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,20248.0,INPROGRESS_SO_FAR_MISSED,true,2023-11-25,2023-12-02,2023-11-27T08:44:18.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,9.43006,INPROGRESS_SO_FAR_MISSED,false,2023-11-25,2023-12-02,2023-11-27T08:44:18.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,41.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-25,2023-12-02,2023-11-27T08:44:18.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,20062.0,8743.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-25,2023-12-02,2023-11-27T08:44:18.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-11-25,2023-12-02,2023-11-27T08:44:18.000+00:00,null